source,target,value
PHYS 125,PHYS 235,1.0
CHEM 221,CHEM 371,1.0
CHEM 221,BIOL 343,1.0
CHEM 221,BIOL 466,1.0
CHEM 221,BIOL 341,1.0
CHEM 221,CHEM 321,1.0
PHYS 120,PHYS 230,1.0
BIOL 341,BIOL 343,1.0
BIOL 341,BIOL 465,1.0
BIOL 341,BIOL 464,1.0
BIOL 341,BIOL 466,1.0
BIOL 341,BIOL 347,1.0
BIOL 341,BIOL 462,1.0
BIOL 341,BIOL 461,1.0
BIOL 341,BIOL 345,1.0
CHEM 331,CHEM 361,1.0
CHEM 331,CHEM 371,1.0
CHEM 331,CHEM 341,1.0
CHEM 331,CHEM 431,1.0
CHEM 331,CHEM 351,1.0
CHEM 111,CHEM 221,1.0
CHEM 111,CHEM 331,1.0
MATH 180,CHEM 341,1.0
MATH 180,PHYS 125,1.0
BIOL 112,BIOL 343,1.0
BIOL 112,BIOL 341,1.0
CHEM 321,CHEM 361,1.0
CHEM 321,CHEM 351,1.0
