source,target,value
SENIOR STANDING,GEOL 485,1.0
GEOL 314,GEOL 480,1.0
GEOL 314,GEOL 401,1.0
GEOL 314,GEOL 421,1.0
GEOL 314,GEOL 420,1.0
FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL,GEOL 485,1.0
GEOL 201,GEOL 400,1.0
GEOL 201,GEOL 314,1.0
GEOL 201,GEOL 285,1.0
GEOL 201,GEOL 316,1.0
GEOL 201,GEOL 315,1.0
GEOL 316,GEOL 480,1.0
GEOL 316,GEOL 431,1.0
GEOL 316,GEOL 430,1.0
GEOL 211,GEOL 400,1.0
GEOL 211,GEOL 314,1.0
GEOL 211,GEOL 285,1.0
GEOL 211,GEOL 316,1.0
GEOL 211,GEOL 315,1.0
GEOL 315,GEOL 411,1.0
GEOL 315,GEOL 480,1.0
GEOL 315,GEOL 410,1.0
CHEM 111,GEOL 316,1.0
