source,target,value
PHYS 345,PHYS 375,1.0
PHYS 345,PHYS 355,1.0
PHYS 345,PHYS 445,1.0
PHYS 445,PHYS 480,1.0
PHYS 375,PHYS 480,1.0
PHYS 120,PHYS 230,1.0
MATH 360,PHYS 445,1.0
MATH 350,PHYS 360,1.0
MATH 350,PHYS 425,1.0
MATH 350,PHYS 445,1.0
MATH 350,PHYS 435,1.0
BACKGROUND IN CALCULUS,PHYS 125,1.0
MATH 280,PHYS 345,1.0
MATH 280,PHYS 235,1.0
MATH 280,PHYS 375,1.0
PHYS 125,PHYS 235,1.0
PHYS 235,PHYS 345,1.0
PHYS 235,PHYS 425,1.0
PHYS 235,PHYS 435,1.0
PHYS 235,PHYS 350,1.0
MATH 320,PHYS 360,1.0
MATH 320,PHYS 425,1.0
MATH 320,PHYS 445,1.0
MATH 320,PHYS 435,1.0
PHYS 230,PHYS 350,1.0
MATH 180,PHYS 125,1.0
