source,target,value
PHYS 375,PHYS 480,1.0
MATH 420,MATH 486,1.0
MATH 420,MATH 488,1.0
MATH 420,MATH 425,1.0
PHYS 445,PHYS 480,1.0
CHEM 221,CHEM 371,1.0
CHEM 221,CHEM 321,1.0
CHEM 221,BIOL 341,1.0
CHEM 221,BIOL 466,1.0
CHEM 221,BIOL 343,1.0
GEOL 316,GEOL 480,1.0
GEOL 316,GEOL 431,1.0
GEOL 316,GEOL 430,1.0
GEOL 315,GEOL 411,1.0
GEOL 315,GEOL 480,1.0
GEOL 315,GEOL 410,1.0
MATH 430,MATH 486,1.0
MATH 430,MATH 435,1.0
MATH 430,MATH 488,1.0
MATH 190,MATH 288,1.0
MATH 190,MATH 420,1.0
MATH 190,CS 310,1.0
GEOL 211,GEOL 400,1.0
GEOL 211,GEOL 314,1.0
GEOL 211,GEOL 285,1.0
GEOL 211,GEOL 316,1.0
GEOL 211,GEOL 315,1.0
MATH 320,PHYS 360,1.0
MATH 320,PHYS 425,1.0
MATH 320,MATH 360,1.0
MATH 320,PHYS 445,1.0
MATH 320,PHYS 435,1.0
PHYS 120,PHYS 230,1.0
BIOL JUNIOR,BIOL 410,1.0
CS 320,CS 410,1.0
CS 320,CS 420,1.0
GEOL 314,GEOL 480,1.0
GEOL 314,GEOL 401,1.0
GEOL 314,GEOL 421,1.0
GEOL 314,GEOL 420,1.0
PSYC 353,BIOL 467,1.0
GEOL 201,GEOL 400,1.0
GEOL 201,GEOL 314,1.0
GEOL 201,GEOL 285,1.0
GEOL 201,GEOL 316,1.0
GEOL 201,GEOL 315,1.0
MATH 350,PHYS 360,1.0
MATH 350,PHYS 425,1.0
MATH 350,MATH 360,1.0
MATH 350,PHYS 445,1.0
MATH 350,PHYS 435,1.0
BIOL 112,BIOL 341,1.0
BIOL 112,BIOL 451,1.0
BIOL 112,BIOL 343,1.0
BIOL 112,BIOL 455,1.0
BIOL 112,BIOL 360,1.0
PHYS 235,CS 350,1.0
PHYS 235,PHYS 425,1.0
PHYS 235,PHYS 435,1.0
PHYS 235,PHYS 350,1.0
PHYS 235,PHYS 345,1.0
MATH 288,MATH 430,1.0
MATH 288,MATH 420,1.0
CS 128,CS 256,1.0
PHYS 345,PHYS 375,1.0
PHYS 345,PHYS 355,1.0
PHYS 345,PHYS 445,1.0
SENIOR STANDING,GEOL 485,1.0
SENIOR STANDING,BIOL 410,1.0
CHEM 341,CHEM 441,1.0
MATH 310,MATH 420,1.0
BIOL 341,BIOL 464,1.0
BIOL 341,BIOL 466,1.0
BIOL 341,BIOL 462,1.0
BIOL 341,BIOL 461,1.0
BIOL 341,BIOL 467,1.0
BIOL 341,BIOL 242,1.0
BIOL 341,BIOL 345,1.0
BIOL 341,BIOL 347,1.0
BIOL 341,BIOL 343,1.0
BIOL 341,BIOL 465,1.0
BIOL 471,BIOL 472,1.0
PHYS 225,CHEM 441,1.0
PHYS 225,CHEM 341,1.0
BIOL 226,BIOL 352,1.0
BIOL 226,BIOL 471,1.0
BIOL 226,BIOL 451,1.0
BIOL 226,BIOL 360,1.0
BIOL 226,BIOL 473,1.0
BIOL 226,BIOL 362,1.0
BIOL 226,BIOL 350,1.0
BIOL 226,BIOL 455,1.0
BIOL 345,BIOL 467,1.0
BACKGROUND IN CALCULUS,PHYS 125,1.0
CHEM 331,CHEM 371,1.0
CHEM 331,CHEM 431,1.0
CHEM 331,CHEM 361,1.0
CHEM 331,CHEM 351,1.0
CHEM 331,CHEM 341,1.0
MATH 180,CHEM 441,1.0
MATH 180,MATH 300,1.0
MATH 180,CS 310,1.0
MATH 180,CHEM 341,1.0
MATH 180,PHYS 125,1.0
MATH 180,MATH 280,1.0
CS 310,CS 320,1.0
CS 310,CS 360,1.0
CS 310,CS 345,1.0
CS 310,CS 340,1.0
CS 310,CS 380,1.0
BIOL 348,BIOL 474,1.0
CHEM 321,CHEM 361,1.0
CHEM 321,CHEM 351,1.0
CHEM 321,CHEM 421,1.0
MATH 280,PHYS 345,1.0
MATH 280,PHYS 235,1.0
MATH 280,MATH 320,1.0
MATH 280,PHYS 375,1.0
MATH 280,MATH 430,1.0
MATH 280,MATH 350,1.0
MATH 280,MATH 310,1.0
MATH 360,PHYS 445,1.0
BIOL 111,BIOL 352,1.0
BIOL 111,BIOL 471,1.0
BIOL 111,BIOL 451,1.0
BIOL 111,BIOL 410,1.0
BIOL 111,BIOL 360,1.0
BIOL 111,BIOL 473,1.0
BIOL 111,BIOL 362,1.0
BIOL 111,BIOL 350,1.0
BIOL 111,BIOL 348,1.0
BIOL 111,BIOL 455,1.0
PHYS 220,CHEM 341,1.0
PHYS 230,CS 350,1.0
PHYS 230,PHYS 350,1.0
PHYS 125,PHYS 235,1.0
FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL,GEOL 485,1.0
CHEM 111,CHEM 331,1.0
CHEM 111,GEOL 316,1.0
CHEM 111,CHEM 221,1.0
CS 256,CS 310,1.0
CS 256,CS 440,1.0
CS 256,CS 370,1.0
CS 256,CS 330,1.0
CS 256,CS 430,1.0
