label	dept	num	satisfies	prereqs	coreqs	ay
BOGUS	CHEM	371	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 226	BIOL	226	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	PHYS	125	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	466	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	PHYS	235	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	341	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	351	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	221	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	343	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	431	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	347	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	345	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	461	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	465	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	PHYS	120	BOGUS	BOGUS	BOGUS	BOGUS
MATH 120	MATH	120	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	331	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	361	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 480	BIOL	480	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	111	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 460	BIOL	460	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	112	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	MATH	180	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	341	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	CHEM	321	BOGUS	BOGUS	BOGUS	BOGUS
CHEM 480	CHEM	480	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	462	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	PHYS	230	BOGUS	BOGUS	BOGUS	BOGUS
BOGUS	BIOL	464	BOGUS	BOGUS	BOGUS	BOGUS
