label	dept	num	satisfies	prereqs	coreqs	ay
SENIOR STANDING	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 400	GEOL	400	[]	['GEOL 201', 'GEOL 211']	[]	False
GEOL 110	GEOL	110	['SI']	[]	[]	False
GEOL 112	GEOL	112	['SI']	[]	[]	False
GEOL 484	GEOL	484	[]	[]	[]	False
GEOL 483	GEOL	483	[]	[]	[]	False
GEOL 431	GEOL	431	[]	['GEOL 316']	[]	False
GEOL 314	GEOL	314	['RCH', 'SI']	['GEOL 201', 'GEOL 211']	[]	False
GEOL 285	GEOL	285	[]	['GEOL 201', 'GEOL 211']	[]	False
FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 485	GEOL	485	[]	"['SENIOR STANDING', ""FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL""]"	[]	False
GEOL 480	GEOL	480	[]	['GEOL 314', 'GEOL 315', 'GEOL 316']	[]	False
GEOL 201	GEOL	201	['A-QR', 'D-I', 'SI']	[]	[]	False
GEOL 316	GEOL	316	['RCH', 'SI', 'WI']	['GEOL 201', 'GEOL 211', 'CHEM 111']	[]	False
GEOL 210	GEOL	210	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 488	GEOL	488	[]	[]	[]	False
GEOL 421	GEOL	421	[]	['GEOL 314']	[]	False
GEOL 150	GEOL	150	['ES']	[]	[]	False
GEOL 486	GEOL	486	[]	[]	[]	False
GEOL 481	GEOL	481	[]	[]	[]	False
BIOL 111	BIOL	111	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 430	GEOL	430	[]	['GEOL 316']	[]	False
CHEM 221	CHEM	221	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 125	PHYS	125	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 410	GEOL	410	[]	['GEOL 315']	[]	False
GEOL 482	GEOL	482	[]	[]	[]	False
MATH 120	MATH	120	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 211	GEOL	211	['A-QR', 'SI']	[]	[]	False
CHEM 331	CHEM	331	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 315	GEOL	315	['RCH', 'SI']	['GEOL 201', 'GEOL 211']	[]	False
MATH 180	MATH	180	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 120	PHYS	120	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 411	GEOL	411	[]	['GEOL 315']	[]	False
CHEM 111	CHEM	111	BOGUS	BOGUS	BOGUS	BOGUS
GEOL 401	GEOL	401	[]	['GEOL 314']	[]	False
GEOL 113	GEOL	113	['SI']	[]	[]	False
GEOL 420	GEOL	420	[]	['GEOL 314']	[]	False
