label	dept	num	satisfies	prereqs	coreqs	ay
MATH 280	MATH	280	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 125	PHYS	125	['A-AR', 'A-QR', 'SI']	[]	['MATH 180', 'BACKGROUND IN CALCULUS']	False
PHYS 355	PHYS	355	['RCH']	['PHYS 345']	[]	False
PHYS 235	PHYS	235	['A-AR', 'A-QR', 'SI']	['PHYS 125']	['MATH 280']	False
PHYS 115	PHYS	115	['A-QR', 'SI']	[]	[]	False
CS 128	CS	128	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 150	PHYS	150	['ES']	[]	[]	False
PHYS 375	PHYS	375	[]	['PHYS 345', 'MATH 280']	[]	False
PHYS 345	PHYS	345	['SI']	['MATH 280', 'PHYS 235']	[]	False
PHYS 488	PHYS	488	[]	[]	[]	False
PHYS 486	PHYS	486	[]	[]	[]	False
PHYS 485	PHYS	485	[]	[]	[]	False
MATH 320	MATH	320	BOGUS	BOGUS	BOGUS	BOGUS
BACKGROUND IN CALCULUS	MATH	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 120	PHYS	120	['A-AR', 'A-QR', 'SI']	[]	[]	False
PHYS 482	PHYS	482	[]	[]	[]	False
PHYS 445	PHYS	445	[]	['PHYS 345', 'MATH 320', 'MATH 350', 'MATH 360']	[]	False
PHYS 350	PHYS	350	[]	['PHYS 230', 'PHYS 235']	[]	False
MATH 350	MATH	350	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 360	PHYS	360	['A-AR', 'A-QR', 'RCH']	['MATH 320', 'MATH 350']	[]	False
PHYS 480	PHYS	480	[]	['PHYS 375', 'PHYS 445']	[]	False
BOGUS	CHEM	331	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 483	PHYS	483	[]	[]	[]	False
BOGUS	CHEM	111	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 425	PHYS	425	['SI']	['PHYS 235', 'MATH 320', 'MATH 350']	[]	False
PHYS 230	PHYS	230	['A-AR', 'A-QR', 'SI']	['PHYS 120']	[]	False
MATH 180	MATH	180	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 435	PHYS	435	['SI']	['PHYS 235', 'MATH 320', 'MATH 350']	[]	False
MATH 360	MATH	360	BOGUS	BOGUS	BOGUS	BOGUS
PHYS 484	PHYS	484	[]	[]	[]	False
PHYS 481	PHYS	481	[]	[]	[]	False
