label	dept	num	satisfies	prereqs	coreqs	ay
GEOL 486	GEOL	486	[]	[]	[]	False
PHYS 125	PHYS	125	['A-AR', 'A-QR', 'SI']	[]	['MATH 180', 'BACKGROUND IN CALCULUS']	False
CHEM 481	CHEM	481	[]	[]	[]	False
CS 195	CS	195	[]	[]	[]	False
BIOL 466	BIOL	466	[]	['BIOL 341', 'CHEM 221']	[]	False
PHYS 235	PHYS	235	['A-AR', 'A-QR', 'SI']	['PHYS 125']	['MATH 280']	False
GEOL 480	GEOL	480	[]	['GEOL 314', 'GEOL 315', 'GEOL 316']	[]	False
BIOL 462	BIOL	462	[]	['BIOL 341']	[]	False
MATH 435	MATH	435	['A-AR']	['MATH 430']	[]	False
CHEM 105	CHEM	105	['A-QR', 'SI']	[]	[]	False
PHYS 375	PHYS	375	[]	['PHYS 345', 'MATH 280']	[]	False
BIOL 465	BIOL	465	[]	['BIOL 341']	[]	False
GEOL 150	GEOL	150	['ES']	[]	[]	False
GEOL 488	GEOL	488	[]	[]	[]	False
GEOL 110	GEOL	110	['SI']	[]	[]	False
GEOL 411	GEOL	411	[]	['GEOL 315']	[]	False
BIOL 347	BIOL	347	[]	['BIOL 341']	[]	False
PHYS 220	PHYS	220	BOGUS	BOGUS	BOGUS	BOGUS
MATH 425	MATH	425	['A-AR']	['MATH 420']	[]	False
CS 481	CS	481	[]	[]	[]	False
MATH 195	MATH	195	[]	[]	[]	False
GEOL 431	GEOL	431	[]	['GEOL 316']	[]	False
BIOL 473	BIOL	473	[]	['BIOL 111', 'BIOL 226']	[]	False
CS 281	CS	281	[]	[]	[]	False
GEOL 481	GEOL	481	[]	[]	[]	False
PHYS 480	PHYS	480	[]	['PHYS 375', 'PHYS 445']	[]	False
BIOL 348	BIOL	348	[]	['BIOL 111']	[]	False
GEOL 410	GEOL	410	[]	['GEOL 315']	[]	False
CS 420	CS	420	[]	['CS 320']	[]	False
GEOL 316	GEOL	316	['RCH', 'SI', 'WI']	['GEOL 201', 'GEOL 211', 'CHEM 111']	[]	False
CHEM 441	CHEM	441	['RCH']	['CHEM 341', 'MATH 180', 'PHYS 225']	[]	False
BIOL 360	BIOL	360	[]	['BIOL 111', 'BIOL 112', 'BIOL 226']	[]	False
BIOL 362	BIOL	362	[]	['BIOL 111', 'BIOL 226']	[]	False
PHYS 425	PHYS	425	['SI']	['PHYS 235', 'MATH 320', 'MATH 350']	[]	False
MATH 360	MATH	360	['A-AR', 'A-QR', 'RCH']	['MATH 320', 'MATH 350']	[]	False
CS 380	CS	380	[]	['CS 310']	[]	False
PHYS 115	PHYS	115	['A-QR', 'SI']	[]	[]	False
PHYS 230	PHYS	230	['A-AR', 'A-QR', 'SI']	['PHYS 120']	[]	False
CS 128	CS	128	['A-AR', 'A-QR']	[]	[]	False
GEOL 421	GEOL	421	[]	['GEOL 314']	[]	False
MATH 130	MATH	130	['A-AR']	[]	[]	False
PHYS 355	PHYS	355	['RCH']	['PHYS 345']	[]	False
GEOL 401	GEOL	401	[]	['GEOL 314']	[]	False
BIOL 286	BIOL	286	[]	[]	[]	False
BIOL 482	BIOL	482	[]	[]	[]	False
CHEM 485	CHEM	485	[]	[]	[]	False
GEOL 485	GEOL	485	[]	"['SENIOR STANDING', ""FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL""]"	[]	False
BIOL 471	BIOL	471	[]	['BIOL 111', 'BIOL 226']	[]	False
PHYS 483	PHYS	483	[]	[]	[]	False
BIOL 485	BIOL	485	[]	[]	[]	False
PHYS 120	PHYS	120	['A-AR', 'A-QR', 'SI']	[]	[]	False
BIOL 229	BIOL	229	[]	[]	[]	False
BIOL 112	BIOL	112	['SI']	[]	[]	False
PHYS 445	PHYS	445	[]	['PHYS 345', 'MATH 320', 'MATH 350', 'MATH 360']	[]	False
CHEM 421	CHEM	421	[]	['CHEM 321']	[]	False
BIOL 484	BIOL	484	[]	[]	[]	False
CS 430	CS	430	[]	['CS 256']	[]	False
MATH 120	MATH	120	['A-QR']	[]	[]	False
FACULTY ADVISER'S PRIOR APPROVAL OF PROJECT PROPOSAL	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS	BOGUS
BIOL 150	BIOL	150	['ES']	[]	[]	False
MATH 301	MATH	301	['A-AR']	[]	[]	False
